Controller,Sample,Stable,PitchSettling,YawSettling,PitchSettledWithinHorizon,YawSettledWithinHorizon,PitchBandwidth,YawBandwidth,PitchSteadyStateErrorPercent,YawSteadyStateErrorPercent,YawFromPitchPeak,PitchFromYawPeak,PitchDisturbancePeak,YawDisturbancePeak
mu-synthesis,5,1,2.32164562472359,3.44849660307462,1,1,3.07275430303427,4.24642891945491,1.36458990963789,0.303027814036221,0.00214428359226455,0.000359893890875147,0.0115236844173324,0.0455897240045322
mu-synthesis,6,1,2.52232444239077,3.99722409125432,1,1,3.6018295148677,4.3599977114815,1.73325217416072,0.230651624029155,0.00136134227547014,0.000451577612271732,0.0125296033223739,0.0459649407616526
mu-synthesis,7,1,2.51768423147389,3.41424973233558,1,1,3.45151374196565,4.72431310747223,1.13038854479858,0.295427104510203,0.00295044372161637,0.000441662357101633,0.0122790304219073,0.0459049416201359
mu-synthesis,8,1,2.50440984881066,4.07853668654536,1,1,3.66988196302753,4.55071390350653,1.69697228095828,0.22036226536758,0.00146052524874396,0.000368015044396676,0.0126084038445019,0.0458010249923547
mu-synthesis,9,1,2.46570842773852,4.56300961496043,1,1,3.49224436923795,4.42884426989669,2.10874690094992,0.193918406361823,0.0038657951213868,0.000419065229123148,0.0123974980144683,0.0466230042550612
mu-synthesis,10,1,2.53883263233554,3.54383084433285,1,1,3.752922512182,4.80991987157739,1.05585615327602,0.278367482115622,0.00281663808803741,0.000449782278877537,0.0130518133758856,0.046301901164659
H2,1,1,0.903086689579867,1.02038595065771,1,1,5.01648519928373,3.95050609531539,2.21186460894656,1.69083401947848,0.00205465529293918,0.000200924081147585,0.0159730151174935,0.0710864167323891
H2,2,1,29.8791696889874,1.03465388335261,1,1,5.48196082199232,4.57669901840514,1.86924558140257,1.59850138067061,0.00105270181320477,0.000297133458440022,0.017505838803699,0.0734139099557807
H2,3,1,0.84020759078729,0.962693875267292,1,1,5.8805406805167,4.09143169604325,1.5818679057138,2.07284796376033,0.00306410138267318,0.000261135767139096,0.0159655154192933,0.0711530396069192
H2,4,1,0.797722779363284,0.968844677715544,1,1,5.87829367144056,4.22716465147511,1.73090226838288,1.95919473970055,0.00173890376873593,0.000315857741213025,0.0160424920754641,0.0707966575931874
H2,5,1,2.39724911693786,0.960791329038431,1,1,3.61534705385678,3.9850831789978,1.45919844304227,2.16851879708181,0.00415502299450719,0.000275920699241902,0.0152446411706202,0.0712157778167469
H2,6,1,1.44423784031172,1.05146868543216,1,1,5.73458297439409,4.12772040383701,2.09452186861563,1.7187093838785,0.00133066212903833,0.00020284571931522,0.0163908476547147,0.0719855124549738
H2,7,1,0.942067798681503,0.925083599137691,1,1,4.7876956164547,4.47346876747043,1.1379798687586,2.09759032287569,0.00536846050358462,0.000286303675057008,0.0162180646607835,0.0720649039845565
H2,8,1,1.40791669826435,0.986404766717731,1,1,5.74442507182955,4.29551016613494,2.05936267252548,1.64682140133815,0.00153643203534857,0.00016660130838655,0.0166165242505873,0.0717084884256042
H2,9,1,0.763984183903218,1.05192576335688,1,1,5.68630389728308,4.16933714511508,2.68371777526605,1.50687965074181,0.00529817687752517,0.000138842298034506,0.0161895304011431,0.072835204499289
H2,10,1,0.653613702417134,1.0819118215481,1,1,5.69515144913139,4.61513134885719,1.05873762720687,1.977488848401,0.00511884161150038,0.000361192172402838,0.0173533260713653,0.0729988101534967
